IP,Ping,Nome do host,Portas
192.168.2.1,7 ms,[n/d],80
192.168.2.2,4 ms,[n/d],[n/d]
192.168.2.3,1949 ms,[n/d],[n/d]
192.168.2.4,4 ms,[n/d],[n/d]
192.168.2.5,4 ms,[n/d],80
192.168.2.6,[n/d],[n/e],[n/e]
192.168.2.7,4 ms,[n/d],[n/d]
192.168.2.8,33 ms,[n/d],[n/d]
192.168.2.9,58 ms,[n/d],[n/d]
192.168.2.10,4 ms,[n/d],[n/d]
192.168.2.11,4 ms,[n/d],[n/d]
192.168.2.12,33 ms,[n/d],443
192.168.2.13,33 ms,FINANCEIRO,80.443.8080
192.168.2.14,33 ms,ANDREIA_BOSCATTO,[n/d]
192.168.2.15,4 ms,[n/d],80.443
192.168.2.16,286 ms,RH_01,8080
192.168.2.17,4 ms,[n/d],[n/d]
192.168.2.18,287 ms,ANDERSON-OPERACIONAL,[n/d]
192.168.2.19,4 ms,[n/d],80.443
192.168.2.20,65 ms,[n/d],[n/d]
192.168.2.21,4 ms,[n/d],80
192.168.2.22,0 ms,[n/d],[n/d]
192.168.2.23,40 ms,[n/d],[n/d]
192.168.2.24,68 ms,[n/d],[n/d]
192.168.2.25,292 ms,JOANA_NOTEBOOK,[n/d]
192.168.2.26,3 ms,[n/d],80.443
192.168.2.27,4 ms,[n/d],80.443
192.168.2.28,4 ms,[n/d],80.443
192.168.2.29,64 ms,[n/d],[n/d]
192.168.2.30,4 ms,[n/d],80.443
192.168.2.31,4 ms,[n/d],80.443
192.168.2.32,9 ms,[n/d],80.443
192.168.2.33,288 ms,ALMOXARIFADO,[n/d]
192.168.2.34,4 ms,[n/d],80.443
192.168.2.35,1927 ms,[n/d],[n/d]
192.168.2.36,4 ms,[n/d],80.443
192.168.2.37,288 ms,Samsung-3.local,8080
192.168.2.38,[n/d],[n/e],[n/e]
192.168.2.39,4 ms,[n/d],80.443
192.168.2.40,[n/d],[n/e],[n/e]
192.168.2.41,8 ms,[n/d],80.443
192.168.2.42,4 ms,[n/d],80.443
192.168.2.43,53 ms,[n/d],[n/d]
192.168.2.44,1783 ms,[n/d],[n/d]
192.168.2.45,3 ms,OPERACIONAL_05,[n/d]
192.168.2.46,60 ms,[n/d],[n/d]
192.168.2.47,4 ms,[n/d],80.443
192.168.2.48,4 ms,[n/d],80.443
